题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
DASCTF/replace的附件,DASCTF,replace的附件,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: L QPH= D$XH T$XL D$`L L$hH kernel32.dll IsDebuggerPresent Plz input you flag and i will check it: Wrong lenth Stop debugging You got it.S; 时序/工具干预: riticalSection LoadLibraryA OpenProcess QueryPerformanceCounter RtlAddFunctionTable RtlCaptureContext RtlLookupFunctionEntry Rt,中,DASCTF/replace的附件
DozerCTF/I wanna be the Dozer,DozerCTF,I wanna be the Dozer,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：UPX/packer: ogram cannot be run in DOS mode. Rich1~ UPX0 UPX1 .rsrc 2.01 UPX! f}HP ;T$t Y)PpJ t6I thV9 $[d$ tT9] aBZSV r9yl @Px2v xO(q,低,DozerCTF/I wanna be the Dozer
DozerCTF/dump,DozerCTF,dump,U0,否,否,否,否,是,静态证据不足，待人工复核,低,DozerCTF/dump
DozerCTF/nim,DozerCTF,nim,P3,否,否,是,否,否,C2 证据包含运行时解码/自修改线索：自修改/运行时解码: fSW5ZeoGvw8xg __imp_GetCurrentProcessId shellcode__V9cz3jdYBQFOnk8C1GVnViQ __imp___lconv_init __imp_TerminateProcess __imp_GetPro,低,DozerCTF/nim
Google CTF/1,Google CTF,1,U0,否,否,否,否,是,静态证据不足，待人工复核,低,Google CTF/1
Google CTF/2,Google CTF,2,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：虚拟机/解释器: _string _rl_char_value _rl_isearch_init opcode_dispatch rl_save_prompt isearch.c _rl_isearch_cleanup _rl_walphabetic _rl_input_availabl; 自修改/运行时解码: upported in Python 3.6 and greater dict unpacking cannot be used in dict comprehension named arguments must follow bare * l,中,Google CTF/2
Google CTF/3,Google CTF,3,U0,否,否,否,否,是,静态证据不足，待人工复核,低,Google CTF/3
L3HCTF/double-joy,L3HCTF,double-joy,U0,否,否,否,否,是,静态证据不足，待人工复核,低,L3HCTF/double-joy
MRCTF/EzGame,MRCTF,EzGame,P1+P4,是,否,否,是,否,"""由 C3 环境与交互干预映射：UPX/packer: @ h B.exports @.imports .tls .themida .boot `.reloc x304C 3rdz ;&/( o/Z9j VgVS\ `7B6 _TI8; =!I} l.z_] d""""M5 [gU$EQ &\x; 自修改/运行时解码: eO- q}s.nd> m>/)t fvVK6e 9e_$ -rmk %Q&J smC; +t|u w>$Y S.aU Se*.&3X#? Wr2P K(') [+DmS mOM4`* O9gI <@+ss 08[y MoLl +Zky D|=G；C2 证据包含加壳/虚拟化线索：UPX/packer: @ h B.exports @.imports .tls .themida .boot `.reloc x304C 3rdz ;&/( o/Z9j VgVS\ `7B6 _TI8; =!I} l.z_] d""""M5 [gU$EQ &\x; 自修改/运行时解码: eO- q}s.nd> m>/)t fvVK6e 9e_$ -rmk %Q&J smC; +t|u w>$Y S.aU Se*.&3X#? Wr2P K(') [+DmS mOM4`* O9gI <@+ss 08[y MoLl +Zky D|=G""",中,MRCTF/EzGame
MRCTF/MR_register,MRCTF,MR_register,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: GetTickCount InitializeCriticalSection IsDebuggerPresent LeaveCriticalSection OpenProcess QueryPerformanceCounter ReadFile ReadProcessMe; 时序/工具干预: resent LeaveCriticalSection OpenProcess QueryPerformanceCounter ReadFile ReadProcessMemory RtlAddFunctionTable RtlCaptureContext,中,MRCTF/MR_register
MRCTF/dynamic_debug,MRCTF,dynamic_debug,P1,是,否,否,否,否,由 C3 环境与交互干预映射：题目目录名明确指向环境/调试干预: dynamic_debug,中,MRCTF/dynamic_debug
MRCTF/real_signIn,MRCTF,real_signIn,U0,否,否,否,否,是,静态证据不足，待人工复核,低,MRCTF/real_signIn
MT-CTF/100mazes,MT-CTF,100mazes,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,MT-CTF/100mazes
MT-CTF/Inject,MT-CTF,Inject,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: rc$02 GetModuleFileNameA SizeofResource WriteProcessMemory FindResourceA WaitForSingleObject GetModuleHandleA OpenProcess LockResource Clo; 时序/工具干预: dResource GetProcAddress VirtualAllocEx CreateRemoteThread CreateProcessA KERNEL32.dll ?_Xlength_error@std@@YAXPEBD@Z MSVCP140,高,MT-CTF/Inject
